id	chr	start	end	strand	length	tr.name	tr.strand
L2_level1_chrX_+_69067946	chrX	69067936	69067973	+	37	Vma21	+
L2_level1_chr4_+_21786319	chr4	21786207	21786426	+	219	Sfrs18	+
L2_level1_chr18_+_37874407	chr18	37874354	37874461	+	107	Pcdhga3	+
L2_level1_chr4_+_15897881	chr4	15897609	15898027	+	418	Nbn	+
L2_level1_chr1_-_68607126	chr1	68606928	68607268	-	340	Erbb4	-
L2_level1_chr7_+_36371258	chr7	36371230	36371355	+	125	Ankrd27	+
L2_level1_chrX_-_6998211	chrX	6998135	6998286	-	151	2010204K13Rik	-
L2_level1_chr17_+_37193250	chr17	37193227	37193285	+	58	Gabbr1	+
L2_level1_chr15_+_65704763	chr15	65704144	65705175	+	1031	Efr3a	+
L2_level1_chr1_-_58580526	chr1	58579913	58580542	-	629	Fam126b	-
L2_level1_chr10_-_57244172	chr10	57244135	57244254	-	119	Serinc1	-
L2_level1_chr4_-_147533992	chr4	147533879	147534069	-	190	Fbxo44	-
L2_level1_chr7_-_150480302	chr7	150480276	150480574	-	298	Kcnq1	+
L2_level1_chr4_+_135866913	chr4	135866798	135866967	+	169	Hnrnpr	+
L2_level1_chr4_-_135006572	chr4	135005969	135006987	-	1018	Nipal3	-
L2_level1_chr6_-_55628275	chr6	55628040	55628382	-	342	Neurod6	-
L2_level1_chr14_+_33022487	chr14	33022168	33022688	+	520	Parg	+
L2_level1_chr5_+_110633832	chr5	110633783	110634032	+	249	Golga3	+
L2_level1_chr2_-_122508064	chr2	122507894	122508490	-	596	Slc30a4	-
L2_level1_chr3_-_81878591	chr3	81878493	81878678	-	185	Gucy1b3	-
L2_level1_chrX_+_132805937	chrX	132805785	132806195	+	410	Ngfrap1	+
L2_level1_chr17_-_84865556	chr17	84865475	84865633	-	158	Thada	-
L2_level1_chr12_-_101397864	chr12	101397773	101397915	-	142	BC002230	-
L2_level1_chr10_-_78560349	chr10	78560254	78560392	-	138	2610008E11Rik	-
